Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-05-03,Cradle to Crypt ,,https://boxd.it/c0jT4,"An extensive list of films where we follow a main character's life from childhood until old age. There is some flexibility, but I will rank the ones who truly go from cradle to crypt higher than the rest. 

Suggestions are always welcome! :) "

Position,Name,Year,URL,Description
1,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,
2,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,
3,Cinema Paradiso,1988,https://boxd.it/1UlA,
4,Forrest Gump,1994,https://boxd.it/728,
5,Life of Pi,2012,https://boxd.it/37pC,
6,Boyhood,2014,https://boxd.it/3178,
7,Big Fish,2003,https://boxd.it/2a3M,
8,Moonlight,2016,https://boxd.it/d6bE,
