Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-01,Halloween 2022,,https://boxd.it/gOJpg,Films I'm going to watch this Halloween.

Position,Name,Year,URL,Description
1,The Invisible Man,1933,https://boxd.it/1VoK,
2,Dead of Night,1945,https://boxd.it/1PQI,
3,Dracula,1958,https://boxd.it/1STA,
4,Onibaba,1964,https://boxd.it/252a,
5,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
6,The Fog,1980,https://boxd.it/29Cc,
7,Cure,1997,https://boxd.it/1blA,
8,28 Days Later,2002,https://boxd.it/2aXU,
9,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,
10,The Invisible Man,2020,https://boxd.it/kWlA,
