Letterboxd list export v7
Date,Name,Tags,URL,Description
2019-08-05,Movie Posters I Love! ,,https://boxd.it/3NblK,"Film poster I love as much as the film itself. It's not always the right poster on Letterboxd, but I add the films anyways. "

Position,Name,Year,URL,Description
1,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
2,The Thing,1982,https://boxd.it/294O,
3,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,
4,Pulp Fiction,1994,https://boxd.it/29Pq,
5,Jaws,1975,https://boxd.it/2a5e,
6,Spencer,2021,https://boxd.it/qPMG,
7,12 Angry Men,1957,https://boxd.it/2auI,
8,The Silence of the Lambs,1991,https://boxd.it/2aHW,
9,Lawrence of Arabia,1962,https://boxd.it/2wRE,
10,Gladiator,2000,https://boxd.it/2b9m,
11,Amadeus,1984,https://boxd.it/2aH8,
12,Star Wars,1977,https://boxd.it/72s,
13,The Empire Strikes Back,1980,https://boxd.it/27Vw,
14,Back to the Future,1985,https://boxd.it/2b8e,
15,The Shining,1980,https://boxd.it/29Nu,
16,Alien,1979,https://boxd.it/2awY,
17,Her,2013,https://boxd.it/4O24,
18,American Beauty,1999,https://boxd.it/71Y,
