Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-29,Screenplays to be read...,,https://boxd.it/gLLUE,

Position,Name,Year,URL,Description
1,The Worst Person in the World,2021,https://boxd.it/oyws,
2,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
3,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
4,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
5,The Innocents,2021,https://boxd.it/oAlc,
6,8 Mile,2002,https://boxd.it/2bew,
7,The Shawshank Redemption,1994,https://boxd.it/2aHi,
8,The Green Mile,1999,https://boxd.it/2agG,
9,The Empire Strikes Back,1980,https://boxd.it/27Vw,
