Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-10,Top 10 Crime Films,top 10,https://boxd.it/gV13Y,

Position,Name,Year,URL,Description
1,Se7en,1995,https://boxd.it/29zs,
2,Reservoir Dogs,1992,https://boxd.it/2agc,
3,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,
4,Zodiac,2007,https://boxd.it/27MO,
5,The Godfather,1972,https://boxd.it/2aNK,
6,The Silence of the Lambs,1991,https://boxd.it/2aHW,
7,Pulp Fiction,1994,https://boxd.it/29Pq,
8,High and Low,1963,https://boxd.it/1RSc,
9,GoodFellas,1990,https://boxd.it/29FA,
10,The Place Beyond the Pines,2012,https://boxd.it/3mDu,
