Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-04-18,Top 10 of All Time,top 10,https://boxd.it/gfvBs,This is bloody difficult... The only one I'm really sure about is the number 1 spot.

Position,Name,Year,URL,Description
1,The Lord of the Rings,2003,https://boxd.it/2b5Y,
2,Jurassic Park,1993,https://boxd.it/2aA2,"What can I say, as a child I wanted to become a paleontologist, and my favorite director is Steven Spielberg. Combine that and it gets the silvery second place."
3,Inception,2010,https://boxd.it/1skk,"Action-packed, exciting, rewatchable and has one of the best use of a ticking clock that results in one of cinema's best climaxes."
4,The Matrix,1999,https://boxd.it/2a1m,I was blown away when I first saw this film.
5,The Thing,1982,https://boxd.it/294O,"This one has grown to become, paradoxically, my comfort movie."
6,Parasite,2019,https://boxd.it/hTha,This movie elicited a feeling of awe in me that I hadn't gotten from movies since childhood.
7,12 Angry Men,1957,https://boxd.it/2auI,Shows you what a film boils down to; Great acting and a fantastic screenplay.
8,Pulp Fiction,1994,https://boxd.it/29Pq,Some scene of this movie is my favorite scenes ever.
9,Se7en,1995,https://boxd.it/29zs,"Love the atmosphere, the case, the detectives, and the killer."
10,Yojimbo,1961,https://boxd.it/1SRY,"I love samurais, and I loved that it was a western."
