Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-29,Top 10 of the 2010s,top 10,https://boxd.it/odUjw,

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,1
2,Inception,2010,https://boxd.it/1skk,2
3,Ex Machina,2015,https://boxd.it/7T2k,3
4,Django Unchained,2012,https://boxd.it/2cCk,4
5,The Place Beyond the Pines,2012,https://boxd.it/3mDu,5
6,The Lighthouse,2019,https://boxd.it/icFU,6
7,La La Land,2016,https://boxd.it/a5fa,7
8,The Hunt,2012,https://boxd.it/3wEC,8
9,Uncut Gems,2019,https://boxd.it/gXGc,9
10,1917,2019,https://boxd.it/jj4y,10
