Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-13,Top 100 of All Time,top 100,https://boxd.it/gXZ9G,My personal top 100 films list

Position,Name,Year,URL,Description
1,The Lord of the Rings,2003,https://boxd.it/2b5Y,
2,Jurassic Park,1993,https://boxd.it/2aA2,
3,Inception,2010,https://boxd.it/1skk,
4,The Matrix,1999,https://boxd.it/2a1m,
5,The Thing,1982,https://boxd.it/294O,
6,Parasite,2019,https://boxd.it/hTha,
7,12 Angry Men,1957,https://boxd.it/2auI,
8,Pulp Fiction,1994,https://boxd.it/29Pq,
9,Se7en,1995,https://boxd.it/29zs,
10,Yojimbo,1961,https://boxd.it/1SRY,
11,Dune,2021,https://boxd.it/fA7G,
12,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
13,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,
14,The Empire Strikes Back,1980,https://boxd.it/27Vw,
15,Star Wars,1977,https://boxd.it/72s,
16,Return of the Jedi,1983,https://boxd.it/27Vm,
17,Reservoir Dogs,1992,https://boxd.it/2agc,
18,Shutter Island,2010,https://boxd.it/1U82,
19,Léon: The Professional,1994,https://boxd.it/2b8S,
20,Schindler's List,1993,https://boxd.it/2aq2,
21,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS,
22,Mulan,1998,https://boxd.it/1VFw,
23,Oldboy,2003,https://boxd.it/29R2,
24,The Lion King,1994,https://boxd.it/201Q,
25,Django Unchained,2012,https://boxd.it/2cCk,
26,La La Land,2016,https://boxd.it/a5fa,
27,The Hunchback of Notre Dame,1996,https://boxd.it/1VZQ,
28,The Prince of Egypt,1998,https://boxd.it/1XGQ,
29,Police Story,1985,https://boxd.it/1Zhe,
30,The Godfather,1972,https://boxd.it/2aNK,
31,The Shining,1980,https://boxd.it/29Nu,
32,Back to the Future,1985,https://boxd.it/2b8e,
33,The Pinchcliffe Grand Prix,1975,https://boxd.it/hJe6,
34,Gladiator,2000,https://boxd.it/2b9m,
35,Spirited Away,2001,https://boxd.it/2b4m,
36,Ex Machina,2015,https://boxd.it/7T2k,
37,The Lighthouse,2019,https://boxd.it/icFU,
38,Psycho,1960,https://boxd.it/2ab2,
39,Rear Window,1954,https://boxd.it/2a6Q,
40,Jaws,1975,https://boxd.it/2a5e,
41,Memento,2000,https://boxd.it/2bcK,
42,Interstellar,2014,https://boxd.it/4VZ8,
43,The Sixth Sense,1999,https://boxd.it/29Js,
44,The Silence of the Lambs,1991,https://boxd.it/2aHW,
45,Uncut Gems,2019,https://boxd.it/gXGc,
46,The Shawshank Redemption,1994,https://boxd.it/2aHi,
47,The Green Mile,1999,https://boxd.it/2agG,
48,Tenet,2020,https://boxd.it/leq4,
49,Joker,2019,https://boxd.it/h4cS,
50,Perfect Blue,1997,https://boxd.it/1W7A,
51,Her,2013,https://boxd.it/4O24,
52,Shoplifters,2018,https://boxd.it/ifY6,
53,Zodiac,2007,https://boxd.it/27MO,
54,Dunkirk,2017,https://boxd.it/d0Y6,
55,Life Is Beautiful,1997,https://boxd.it/29Wm,
56,Memories of Murder,2003,https://boxd.it/1TSo,
57,Knives Out,2019,https://boxd.it/jWEA,
58,Die Hard,1988,https://boxd.it/2a7u,
59,1917,2019,https://boxd.it/jj4y,
60,Poltergeist,1982,https://boxd.it/2a0o,
61,Hot Fuzz,2007,https://boxd.it/2416,
62,The Witch,2015,https://boxd.it/9X0m,
63,Inglourious Basterds,2009,https://boxd.it/1JzG,
64,Shaun of the Dead,2004,https://boxd.it/29J8,
65,Nosferatu,1922,https://boxd.it/29TM,
66,The Fly,1986,https://boxd.it/1YIe,
67,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,
68,Train to Busan,2016,https://boxd.it/dSQU,
69,Fargo,1996,https://boxd.it/2aHM,
70,The Mist,2007,https://boxd.it/22r2,
71,Nightcrawler,2014,https://boxd.it/780m,
72,A Quiet Place,2018,https://boxd.it/fVJQ,
73,Lawrence of Arabia,1962,https://boxd.it/2wRE,
74,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,
75,The Big Lebowski,1998,https://boxd.it/2b6C,
76,The Iron Giant,1999,https://boxd.it/1Wow,
77,The Truman Show,1998,https://boxd.it/18U8,
78,American Beauty,1999,https://boxd.it/71Y,
79,Seven Samurai,1954,https://boxd.it/2axi,
80,Saving Private Ryan,1998,https://boxd.it/29ro,
81,Another Round,2020,https://boxd.it/lkba,
82,The Hunt,2012,https://boxd.it/3wEC,
83,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,
84,The Place Beyond the Pines,2012,https://boxd.it/3mDu,
85,The Exorcist,1973,https://boxd.it/1Yoo,
86,The Goonies,1985,https://boxd.it/1YVC,
87,Big Trouble in Little China,1986,https://boxd.it/21em,
88,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
89,Finding Nemo,2003,https://boxd.it/72i,
90,Gremlins,1984,https://boxd.it/29gg,
91,Predator,1987,https://boxd.it/2b84,
92,Spider-Man,2002,https://boxd.it/2a8i,
93,High and Low,1963,https://boxd.it/1RSc,
94,Titanic,1997,https://boxd.it/2a2k,
95,Cinema Paradiso,1988,https://boxd.it/1UlA,
96,Sound of Metal,2019,https://boxd.it/i7Q4,
97,City of God,2002,https://boxd.it/2a2a,
98,Annihilation,2018,https://boxd.it/9yzm,
99,Requiem for a Dream,2000,https://boxd.it/29VI,
100,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,
