Date,Name,Year,Letterboxd URI,Rating
2018-04-30,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2018-04-30,The Matrix,1999,https://boxd.it/2a1m,4.5
2018-04-30,Jurassic Park,1993,https://boxd.it/2aA2,5
2018-04-30,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2018-04-30,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,0.5
2018-04-30,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2018-05-03,Seven Samurai,1954,https://boxd.it/2axi,5
2018-05-05,The Cabin in the Woods,2011,https://boxd.it/1zOc,1.5
2018-06-16,The Invisible Guest,2016,https://boxd.it/euce,3.5
2018-06-17,Wonder Woman,2017,https://boxd.it/9roG,3
2018-06-24,Tomb Raider,2018,https://boxd.it/bgbA,3
2018-06-24,The Lobster,2015,https://boxd.it/7tnw,2.5
2019-01-12,Roma,2018,https://boxd.it/f69M,3
2019-01-12,BlacKkKlansman,2018,https://boxd.it/hxL8,3
2019-01-12,Bird Box,2018,https://boxd.it/eh1i,3
2019-01-12,Hereditary,2018,https://boxd.it/hNVe,4.5
2019-01-12,Eighth Grade,2018,https://boxd.it/hDMG,4
2019-01-13,In the Mouth of Madness,1994,https://boxd.it/26vi,3.5
2019-11-17,Aquaman,2018,https://boxd.it/9ru0,0.5
2021-03-16,A Quiet Place,2018,https://boxd.it/fVJQ,4
2022-08-20,The Devil All the Time,2020,https://boxd.it/i2tY,1
2023-02-07,Babylon,2022,https://boxd.it/mM02,3.5
2023-02-07,The Place Beyond the Pines,2012,https://boxd.it/3mDu,5
2024-02-04,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,4
2024-03-04,Dune: Part Two,2024,https://boxd.it/pUfA,5
